"SEX","GEO","TIME","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"Total","Netherlands","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","62.2",""
"Total","Netherlands","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","80.9",""
"Total","Netherlands","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.6",""
"Total","Netherlands","2009","From 15 to 64 years","No response","Percentage","77.2",""
"Total","Netherlands","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.7",""
"Total","Netherlands","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","59.2","b"
"Total","Netherlands","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","78.7","b"
"Total","Netherlands","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.6","b"
"Total","Netherlands","2010","From 15 to 64 years","No response","Percentage","73.7","b"
"Total","Netherlands","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.2",""
"Total","Netherlands","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","58.9","b"
"Total","Netherlands","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","77.7","b"
"Total","Netherlands","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.2","b"
"Total","Netherlands","2011","From 15 to 64 years","No response","Percentage","73.5","b"
"Total","Netherlands","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.4",""
"Total","Netherlands","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","58.8",""
"Total","Netherlands","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","77.6",""
"Total","Netherlands","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.6",""
"Total","Netherlands","2012","From 15 to 64 years","No response","Percentage","71.1",""
"Total","Netherlands","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","73.6",""
"Total","Netherlands","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","57.2","b"
"Total","Netherlands","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","76.2","b"
"Total","Netherlands","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.9","b"
"Total","Netherlands","2013","From 15 to 64 years","No response","Percentage","62.7","b"
"Total","Netherlands","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","73.1",""
"Total","Netherlands","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","55.6","b"
"Total","Netherlands","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","76.0","b"
"Total","Netherlands","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.8","b"
"Total","Netherlands","2014","From 15 to 64 years","No response","Percentage","57.5","b"
"Total","Netherlands","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","74.1",""
"Total","Netherlands","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","57.0",""
"Total","Netherlands","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","76.5",""
"Total","Netherlands","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","87.4",""
"Total","Netherlands","2015","From 15 to 64 years","No response","Percentage","56.7",""
"Total","Austria","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","65.3",""
"Total","Austria","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","43.6","b"
"Total","Austria","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","70.4","b"
"Total","Austria","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.8","b"
"Total","Austria","2004","From 15 to 64 years","No response","Percentage",":","bu"
"Total","Austria","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","67.4",""
"Total","Austria","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","45.9","b"
"Total","Austria","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","72.1","b"
"Total","Austria","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.5","b"
"Total","Austria","2005","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","68.6",""
"Total","Austria","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.9","b"
"Total","Austria","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","73.2","b"
"Total","Austria","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","84.7","b"
"Total","Austria","2006","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","69.9",""
"Total","Austria","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","50.2","b"
"Total","Austria","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","74.4","b"
"Total","Austria","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.7","b"
"Total","Austria","2007","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2008","From 15 to 64 years","All ISCED 2011 levels ","Percentage","70.8",""
"Total","Austria","2008","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.5",""
"Total","Austria","2008","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.8",""
"Total","Austria","2008","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.3",""
"Total","Austria","2008","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2009","From 15 to 64 years","All ISCED 2011 levels ","Percentage","70.3",""
"Total","Austria","2009","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.8",""
"Total","Austria","2009","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.3",""
"Total","Austria","2009","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.2",""
"Total","Austria","2009","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2010","From 15 to 64 years","All ISCED 2011 levels ","Percentage","70.8",""
"Total","Austria","2010","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.3",""
"Total","Austria","2010","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.7",""
"Total","Austria","2010","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","84.6",""
"Total","Austria","2010","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2011","From 15 to 64 years","All ISCED 2011 levels ","Percentage","71.1",""
"Total","Austria","2011","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","49.0",""
"Total","Austria","2011","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.7",""
"Total","Austria","2011","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.3",""
"Total","Austria","2011","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2012","From 15 to 64 years","All ISCED 2011 levels ","Percentage","71.4",""
"Total","Austria","2012","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","48.3",""
"Total","Austria","2012","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","75.8",""
"Total","Austria","2012","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","86.2",""
"Total","Austria","2012","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2013","From 15 to 64 years","All ISCED 2011 levels ","Percentage","71.4",""
"Total","Austria","2013","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.3",""
"Total","Austria","2013","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","76.2",""
"Total","Austria","2013","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","85.3",""
"Total","Austria","2013","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2014","From 15 to 64 years","All ISCED 2011 levels ","Percentage","71.1",""
"Total","Austria","2014","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.5","b"
"Total","Austria","2014","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","73.8","b"
"Total","Austria","2014","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.3","b"
"Total","Austria","2014","From 15 to 64 years","No response","Percentage",":",""
"Total","Austria","2015","From 15 to 64 years","All ISCED 2011 levels ","Percentage","71.1",""
"Total","Austria","2015","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","47.2",""
"Total","Austria","2015","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","73.5",""
"Total","Austria","2015","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","83.3",""
"Total","Austria","2015","From 15 to 64 years","No response","Percentage",":",""
"Total","Poland","2004","From 15 to 64 years","All ISCED 2011 levels ","Percentage","51.4",""
"Total","Poland","2004","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","22.7","b"
"Total","Poland","2004","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","56.2","b"
"Total","Poland","2004","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","80.2","b"
"Total","Poland","2004","From 15 to 64 years","No response","Percentage",":","b"
"Total","Poland","2005","From 15 to 64 years","All ISCED 2011 levels ","Percentage","52.8",""
"Total","Poland","2005","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","23.0","b"
"Total","Poland","2005","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","56.7","b"
"Total","Poland","2005","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.1","b"
"Total","Poland","2005","From 15 to 64 years","No response","Percentage",":","b"
"Total","Poland","2006","From 15 to 64 years","All ISCED 2011 levels ","Percentage","54.5",""
"Total","Poland","2006","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","23.3",""
"Total","Poland","2006","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","58.3",""
"Total","Poland","2006","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","81.7",""
"Total","Poland","2006","From 15 to 64 years","No response","Percentage",":",""
"Total","Poland","2007","From 15 to 64 years","All ISCED 2011 levels ","Percentage","57.0",""
"Total","Poland","2007","From 15 to 64 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","24.9",""
"Total","Poland","2007","From 15 to 64 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","61.0",""
"Total","Poland","2007","From 15 to 64 years","Tertiary education (levels 5-8)","Percentage","82.8",""
"Total","Poland","2007","From 15 to 64 years","No response","Percentage",":",""
